//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;
$_Languages;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);9(1) Anglais (États-Unis);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportation le 23/10/2013 09:36:32;;;
7648;Trop d'informations de diagnostic;Too much diagnostic information generated;
24032;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un diagnostic maximal. Par PROFINET IO-Device il peut contenir les données de diagnostic de jusqu'à 8 modules en défaut. Il peut contenir les données de diagnostic de jusqu'à 14 c;The HMI diagnostic picture data block for PROFINET IO is intended for maximum diagnostics. Per PROFINET IO device, it can contain diagnostic data for up to 8 modules that have problems. Per module, it can contain diagnostic data for up to 14 submodules and;
7649;Erreur à l'appel du SFB 52;Error calling SFB 52;
24033;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues de diagnostic IHM pour PROFINET IO à l'appel du SFB 52;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictures data block for PROFINET IO.;
8496;Module non enfiché;Module is not plugged in;
24880;Vérifiez si le module est correctement enfiché.;Check whether or not the module is correctly plugged in.;
8497;Module incorrect enfiché;Wrong module plugged in;
24881;Contrôlez le module.;Check the module.;
8498;Le module est correct mais une cartouche au moins est incorrecte.;The module is correct but at least one submodule is incorrect;
24882;Contrôlez les cartouches du module.;Check the submodules of the module.;
8499;Module incorrect, mais compatible avec la configuration.;Wrong module but it is compatible with the configuration;
24883;Comme le module est compatible avec le configuration, aucune action n'est requise.;The module is compatible with the configuration so no action is necessary.;
10192;Cartouche non enfichée;Submodule is not plugged in;
26576;Vérifiez si la cartouche est correctement enfichée;Check whether or not the submodule is correctly plugged in.;
10193;Cartouche compatible avec la configuration;Submodule is compatible to the configuration;
26577;Comme la cartouche est compatible avec la configuration, aucune action n'est requise.;The submodule is compatible with the configuration so no action is necessary.;
