//Nota : Ce fichier d'exportation au format CSV ne doit pas être ouvert par double clic sur le fichier !;;;;
//Veuillez ouvrir ce fichier via la commande de menu Fichier > Ouvrir de MS-Excel;;;;
$_Languages;;;;
7(5) Allemand (Liechtenstein);12(1) Français (France);10(1) Espagnol (traditionnel);9(1) Anglais (États-Unis);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportation le 06/08/2015 09:00:21;;;;
5288;Trop d'informations de diagnostic;Hay demasiadas informaciones de diagnóstico;Too much diagnostic information generated;
21672;Le bloc de données des vues de diagnotic IHM pour PROFINET IO est prévu pour un ;El bloque de datos de imágenes de diagnóstico HMI para PROFINET IO está concebid;The HMI diagnostic picture data block for PROFINET IO is intended for maximum di;
5289;Erreur à l'appel du SFB 52;Error al llamar el SFB 52;Error calling SFB 52;
21673;Une erreur s'est produite lors de l'actualisation du bloc de données pour vues d;Al actualizar el bloque de datos de imágenes de diagnóstico HMI para PROFINET IO;An error occurred calling SFB 52 during the updating of the HMI diagnostic pictu;
5320;Module non enfiché;Módulo no insertado;Module is not plugged in;
21704;Vérifiez si le module est correctement enfiché.;Compruebe si el módulo está enchufado correctamente.;Check whether or not the module is correctly plugged in.;
5321;Module incorrect enfiché;Módulo enchufado incorrecto;Wrong module plugged in;
21705;Contrôlez le module.;Compruebe el módulo.;Check the module.;
5322;Le module est correct mais une cartouche au moins est incorrecte.;El módulo es correcto pero hay como mínimo un submódulo incorrecto;The module is correct but at least one submodule is incorrect;
21706;Contrôlez les cartouches du module.;Compruebe los submódulos del módulo.;Check the submodules of the module.;
5323;Module incorrect, mais compatible avec la configuration.;Módulo incorrecto, pero compatible con la configuración;Wrong module but it is compatible with the configuration;
21707;Comme le module est compatible avec le configuration, aucune action n'est requis;Como el módulo es compatible con la configuración, no se requiere ninguna acción;The module is compatible with the configuration so no action is necessary.;
5384;Cartouche non enfichée;Submódulo no insertado;Submodule is not plugged in;
21768;Vérifiez si la cartouche est correctement enfichée;Compruebe si el submódulo está enchufado correctamente.;Check whether or not the submodule is correctly plugged in.;
5385;Cartouche compatible avec la configuration;Submódulo compatible con la configuración;Submodule is compatible to the configuration;
21769;Comme la cartouche est compatible avec la configuration, aucune action n'est req;Como el submódulo es compatible con la configuración, no se requiere ninguna acc;The submodule is compatible with the configuration so no action is necessary.;
5386;Cartouche bloquée par le contrôleur.;Submódulo bloqueado por el controlador;Submodule is block by the controller;
21770;;;;
5388;Une application accède à la cartouche.;Una aplicación está accediendo al submódulo;An application is accessing the submodule;
21772;;;;
5391;Cartouche incorrecte, mais compatible avec la configuration;Submódulo incorrecto, pero compatible con la configuración;Wrong submodule but it is compatible with the configuration;
21775;Comme la cartouche est compatible avec la configuration, aucune action n'est req;Como el submódulo es compatible con la configuración, no se requiere ninguna acc;The submodule is compatible with the configuration so no action is necessary.;
15296;;;;
31680;;;;
15424;Court-circuit;Cortocircuito;Short circuit;
31808;Contrôlez l'état des câbles de liaison.;Compruebe el estado de las líneas de conexión.;Check the status of the connection lines.;
15552;Sous-tension;Baja tensión;Low voltage;
31936;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
15680;Surtension;Sobretensión;Overvoltage;
32064;Contrôlez l'alimentation en tension.;Compruebe la fuente de alimentación.;Verify the power supply.;
15808;Surcharge;Sobrecarga;Overload;
