//Nota: Este archivo de exportación en formato CSV no se debe abrir con un doble clic en el archivo.;;;
//Por favor, abra este archivo con el comando Archivo > Abrir de MS-Excel;;;
$_Languages;;;
7(5) German (Liechtenstein);9(1) English (United States);12(1) French (France);
$_Typ(OtherText);$_Attrib(MultiLanguage);$_Attrib(MultiLanguage);
//$_Exportación el 14/01/2018 19:36:00;;;
8600;Too much diagnostic information generated;Trop d'informations de diagnostic;
24984;The HMI diagnostic picture data block fo;Le bloc de données des vues de diagnotic;
8601;Error calling SFB 52;Erreur à l'appel du SFB 52;
24985;An error occurred calling SFB 52 during ;Une erreur s'est produite lors de l'actu;
9352;Module is not plugged in;Module non enfiché;
25736;Check whether or not the module is corre;Vérifiez si le module est correctement e;
9353;Wrong module plugged in;Module incorrect enfiché;
25737;Check the module.;Contrôlez le module.;
9354;The module is correct but at least one submodule is incorrect;Le module est correct mais une cartouche au moins est incorrecte.;
25738;Check the submodules of the module.;Contrôlez les cartouches du module.;
9355;Wrong module but it is compatible with the configuration;Module incorrect, mais compatible avec la configuration.;
25739;The module is compatible with the config;Comme le module est compatible avec le c;
10856;Submodule is not plugged in;Cartouche non enfichée;
27240;Check whether or not the submodule is co;Vérifiez si la cartouche est correctemen;
10857;Submodule is compatible to the configuration;Cartouche compatible avec la configuration;
27241;The submodule is compatible with the con;Comme la cartouche est compatible avec l;
10858;Submodule is block by the controller;Cartouche bloquée par le contrôleur.;
27242;;;
10860;An application is accessing the submodule;Une application accède à la cartouche.;
27244;;;
10863;Wrong submodule but it is compatible with the configuration;Cartouche incorrecte, mais compatible avec la configuration;
27247;The submodule is compatible with the con;Comme la cartouche est compatible avec l;
1032;;;
17416;;;
4040;Short circuit;Court-circuit;
20424;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
7048;Low voltage;Sous-tension;
23432;Verify the power supply.;Contrôlez l'alimentation en tension.;
10056;Overvoltage;Surtension;
26440;Verify the power supply.;Contrôlez l'alimentation en tension.;
13064;Overload;Surcharge;
29448;Check the technical specifications of th;Contrôlez les caractéristiques technique;
16072;Overtemperature;Surchauffe;
32456;Check the technical specifications of th;Contrôlez les caractéristiques technique;
2768;Wire break;Rupture de fil;
19152;Check the status of the connection lines;Contrôlez l'état des câbles de liaison.;
5776;High limit exceeded;Limite supérieure dépassée;
22160;Check the technical specifications of th;Contrôlez les caractéristiques technique;
8784;Low limit exceeded;Limite inférieure sous-dépassée;
25168;Check the technical specifications of th;Contrôlez les caractéristiques technique;
11792;Error;Erreur;
28176;;;
14800;Simulation active;Simulation active;
31184;;;
1496;Reserved;réservé;
17880;;;
4504;Reserved;réservé;
20888;;;
7512;Reserved;réservé;
23896;;;
10520;Reserved;réservé;
26904;;;
13528;Parameter missing;Paramètre manquant;
29912;;;
224;Parameter assignment error;Erreur de paramétrage;
16608;Cause: Bad module parameter. Remedy: Che;Cause : paramètres de module incorrects.;
3232;Power supply fault;Absence de tension capteur ou de charge;
19616;Cause: No power supply. Remedy: Check wi;Cause : absence de tension d'alimentatio;
6240;Fuse blown / open;Fusible defectueux;
22624;Cause: Overload. Remedy: Remove cause of;Cause : surcharge. Solution : supprimez ;
9248;Slot cannot be addressed;Emplacement non accessible;
25632;Cause: Communication error with various ;Cause : erreur de communication à cause ;
12256;Ground fault;Défaut à la masse;
28640;Cause: Common mode voltage exceeded or M;Cause : dépassement de la tension mode c;
15264;Reference point list;Erreur de voie de référence;
31648;Cause: Error on reference channel. Remed;Cause : erreur de voie de référence. Sol;
1960;Process event lost / sampling error;Alarme de processus perdue;
18344;Cause: Hardware interrupt. Remedy: Chang;Cause : alarme de processus. Solution : ;
4968;Threshold warning;Avertissement actionneur;
21352;Cause: Actuator signaling a limit value ;Cause : actionneur signale un dépassemen;
7976;Output disabled;Coupure actionneur;
24360;Cause: Problem detected on actuator. Rem;Cause : problème d'actionneur détecté. S;
10984;Safety event;Arrêt de sécurité;
27368;Cause: Error detected on channel. Remedy;Cause : erreur de voie détectée. Solutio;
13992;External fault;Défaut externe;
30376;Cause: Problem detected on sensor/actuat;Cause : Erreur de capteur/actionneur dét;
688;Unidentified error;Défaut non spécifié;
17072;Cause: Cannot be specified in greater de;Cause : ne peut être spécifiée. Solution;
3696;Reserved;réservé;
20080;;;
6704;Fault 1 in actuator/sensor;Erreur 1 dans actionneur / capteur;
23088;;;
9712;Fault 2 in actuator/sensor;Erreur 2 dans actionneur / capteur;
26096;;;
12720;Temporary error;Erreur temporaire;
29104;;;
10880;Illegal linkup;Linkup illicite;
27264;Link status different from setting in pa;Etat de connexion différent des spécific;
13888;Illegal linkdown;Linkdown illicite;
30272;Link status different from setting in pa;Etat de connexion différent des spécific;
584;Illegal transmission rate;Vitesse de transmission illicite;
16968;Transmission rate different from setting;Vitesse de transmission différente des s;
3592;Illegal duplexity;Duplexity illicite;
19976;Duplexity different from setting in para;Duplexity différente des spécifications ;
6600;Frame overload;Surcharge de trames;
22984;More or less discarded frames than set a;Les télégrammes rejetés dépassent le seu;
4416;Data transmission impossible; @5W%t#A02A-SCALANCE_X200-20070405@;Transmission de données impossible; @5W%t#A02A-SCALANCE_X200-20070405@;
20800;Help: Data transmission impossible; @5W%;Aide : transmission de données impossibl;
5920;No physical connection on port;Pas de connexion physique au port;
22304;Port monitoring was configured, there is;Une surveillance de port a été configuré;
5921;Error with "Transfer medium/duplex";Erreur pour "Support de transmission/Duplex";
22305;"Transfer medium / duplex" was configure;"Support de transmission / Duplex" a été;
5922;Error during cable data check;Erreur à la vérification des données de câble;
22306;Possible causes:
 - The discovered cable;Causes possibles :
 - La longueur de câb;
7424;Remote mismatch; @5W%t#A02A-SCALANCE_X200-20070405@;Erreur partenaire; @5W%t#A02A-SCALANCE_X200-20070405@;
23808;Help: Remote mismatch; @5W%t#A02A-SCALAN;Aide : erreur partenaire; @5W%t#A02A-SCA;
8928;Wrong partner;Partenaire incorrect;
25312;A port interconnection was configured bu;Une connexion de port a été configurée, ;
8929;Wrong partner port;Port partenaire incorrect;
25313;A port interconnection was configured bu;Une connexion de port a été configurée, ;
8930;IRT (top performance) not possible at this port;IRT (Top Performance) impossible sur ce port;
25314;Possible causes:
 - Other communications;Causes possibles :
 - Autres erreurs de ;
8931;Inconsistency in "transmission medium / duplex";Incohérence pour "Support de transmission / Duplex";
25315;"Transmission medium/duplex" was configu;"Support de transmission/Duplex" a été c;
8932;Inconsistent MRP configuration / wiring;Incohérence de la configuration MRP / du câblage;
25316;MRP domain was configured; the local set;Domaine MRP configuré ; la sélection loc;
8933;The neighbor could not be identified;Le voisin n'a pas pu être détecté;
25317;A port interconnection was configured bu;Une connexion de port a été configurée, ;
8934;Inconsistent MRRT configuration;Incohérence de la configuration MRRT;
25318;The MRRT feature was configured; the loc;L'attribut MRRT  a été configuré; les op;
